,Job_title,company_name,City,State,job_type,qualification,average_rating_list,company_culture,growth_opportunities,people_you_work_with,person_you_work_for,rewards_you_receive,suppport_you_get,way_you_work,work_setting,Designation,final_rating,polarity,Sentiment
345,Coordinator - MIS and Data Analyst,eVidyaloka,Remote,Remote,Full-time,"['Statistical analysis', 'Analysis skills', 'SQL', 'SAS', 'Google Analytics', ""Bachelor's degree""]",3.9,3.9,3.4,4.4,4.1,3.7,3.9,4,4.1,Analyst,3.9,0,Negative
346,Data Analyst,TrizTeck Intellectual Property Solutions LLP,Delhi,Delhi,Full-time,"['Data analytics', 'Communication skills', 'Microsoft Excel', ""Bachelor's degree"", ""Master's degree""]",3.9,3.9,3.4,4.4,4.1,3.7,3.9,4,4.1,Analyst,3.9,0,Negative
347,Data Scientist,Cellworks Research India,Bengaluru,Karnataka,Not mentioned,"['D3.js', 'Data modeling', 'NoSQL', 'MySQL', 'Data visualization', ""Bachelor's degree"", ""Master's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
348,Cyber Forensics Expert Internship,Crypto Mize,Delhi,Delhi,Internship,"['Information security', 'Chef', 'Computer forensics', 'Diploma']",3.9,3.6,3.5,4.4,4.4,3.6,3.8,4.1,3.7,Intern,3.9,0,Negative
349,"Product Analyst, Data Science, Engineering",Google,Bengaluru,Karnataka,Full-time,"['SQL', 'SAS', 'Stata', 'MATLAB', 'Communication skills', ""Bachelor's degree"", ""Master's degree""]",4.2,4.3,3.6,4.5,4.2,4.2,4.3,4.2,4.3,Analyst,4.2,0.9806,Positive
350,Data Engineer - Chase,"JPMorgan Chase Bank, N.A.",Bengaluru,Karnataka,Full-time,"['Azure', 'SQL', 'Communication skills', 'Scala', 'Agile']",4.1,4.1,3.5,4.4,4.2,4,4.1,4.2,4.2,Engineer,4.1,0.4404,Negative
351,SOC Analyst I,UST,Thiruvananthapuram,Kerala,Full-time,"['Analysis skills', 'Communication skills', 'Information security', 'SoC', 'SIEM', ""Bachelor's degree""]",4.5,4.3,4,5,5,4.3,4.3,5,4.3,Analyst,4.5,0,Negative
352,Associate - Projects,Cognizant,Kochi,Kerala,Full-time,"['Unit testing', 'Knowledge management', 'Management', 'AWS', 'Functional testing', ""Bachelor's degree""]",4,3.9,3.8,4.4,4.2,3.6,4,4.2,4,Associate,4,-0.6862,Negative
353,Software Developer,ClinConsent,Mysore,Karnataka,Full-time,"['CSS', 'SQL', '.NET', 'Software troubleshooting', 'JavaScript', ""Bachelor's degree"", ""Master's degree""]",4,3.9,3.6,4.5,4.2,3.5,3.9,4.1,4.2,Developer,4,0.4404,Negative
354,Data Scientist,FinAcPlus,Hyderabad,Telangana,Not mentioned,"['Analysis skills', 'SQL', 'VBA', 'Microsoft Excel', 'Tableau', ""Bachelor's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
355,Intern - Software Engineer 0-1 Yr Bengaluru,Synapsica Healthcare,Bengaluru,Karnataka,Part-time,"['Image processing', 'REST', 'Flask', 'System design', 'Git', ""Bachelor's degree""]",3.9,3.6,3.5,4.4,4.4,3.6,3.8,4.1,3.7,Intern,3.9,0,Negative
356,Provider Data Analyst,CertifyOS,Remote,Remote,Full-time,"['Relational databases', 'SQL', 'Microsoft Excel', 'NumPy', 'Pandas']",3.9,3.9,3.4,4.4,4.1,3.7,3.9,4,4.1,Analyst,3.9,0,Negative
357,Graduate Intern Technical,Intel,Bengaluru,Karnataka,Internship,"['C++', 'Communication skills', 'C', 'Software development', ""Bachelor's degree"", ""Master's degree""]",4.1,4.1,3.7,4.4,4.3,4.1,4.2,4.1,4.1,Intern,4.1,0.9572,Positive
358,Data Analyst 2,PayPal,Bengaluru,Karnataka,Full-time,"['Analysis skills', 'Power BI', 'SQL', 'Microsoft Excel', 'Predictive analytics', ""Bachelor's degree"", ""Master's degree""]",4,4,3.6,4.4,4.2,4.1,3.9,4,4.1,Analyst,4,-0.1081,Negative
359,Data Scientist,Socure,Chennai,Tamil Nadu,Not mentioned,"['Azure', 'SQL', 'Spark', 'Fraud', 'Scala', ""Bachelor's degree"", ""Master's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
360,QA Analyst,IQVIA,Kochi,Kerala,Full-time,"['Analysis skills', 'Agile', 'Salesforce', 'Oracle', 'NoSQL', ""Bachelor's degree"", ""Master's degree""]",4.2,4.1,3.9,4.7,4.5,4,4,4.4,4,Analyst,4.2,0.9325,Positive
361,Senior Systems Administrator,24-7 Intouch,Bengaluru,Karnataka,Full-time,"['Citrix', 'Analysis skills', 'vCenter', 'VMWare', 'Windows', ""Bachelor's degree""]",4,3.9,3.6,4.4,4.2,3.8,4,4.1,4,Administrator,4,0.4404,Negative
362,Engineering Manager II,Uber,Bengaluru,Karnataka,Full-time,"['Mobile applications', 'Analysis skills', 'Communication skills', 'Full-stack development', 'Supply chain', ""Bachelor's degree"", ""Master's degree"", 'Doctoral degree']",4.3,4.3,3.8,4.5,4.5,3.9,4.3,4.7,4.3,Manager,4.3,0.7774,Positive
363,"Software Engineer III, Engineering Productivity, Technical Infrastructure",Google,Bengaluru,Karnataka,Full-time,"['Distributed systems', 'Test automation', 'System design', 'Natural language processing', 'AI', ""Bachelor's degree"", ""Master's degree"", 'Doctoral degree']",4.2,4.3,3.6,4.5,4.2,4.2,4.3,4.2,4.3,Engineer,4.2,0.9806,Positive
364,BI Analyst,Indeed,Bengaluru,Karnataka,Full-time,"['SQL', 'Tableau', 'NumPy', 'Pandas', 'Microsoft Powerpoint', ""Bachelor's degree""]",4.4,4.7,3.5,4.8,4.3,4.3,4.3,4.5,4.6,Analyst,4.4,-0.1779,Negative
365,"Senior Software Engineer, Technical Infrastructure",Google,Bengaluru,Karnataka,Full-time,"['Distributed systems', 'System design', 'Natural language processing', 'AI', 'Software development', ""Bachelor's degree"", ""Master's degree"", 'Doctoral degree']",4.2,4.3,3.6,4.5,4.2,4.2,4.3,4.2,4.3,Engineer,4.2,0.9806,Positive
