,Job_title,company_name,City,State,job_type,qualification,average_rating_list,company_culture,growth_opportunities,people_you_work_with,person_you_work_for,rewards_you_receive,suppport_you_get,way_you_work,work_setting,Designation,final_rating,polarity,Sentiment
113,Data Scientist,Hypersonix Inc.,Bengaluru,Karnataka,Full-time,"['SQL', 'PyTorch', 'Pandas', 'Machine learning', 'Python', ""Bachelor's degree"", ""Master's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
114,Data Engineer: Data Integration,IBM,Mumbai,Maharashtra,Full-time,"['UNIX', 'Agile', 'Blueprint reading', 'Ab Initio', 'Shell Scripting', ""Master's degree""]",4,3.9,3.6,4.4,4.2,3.8,4,4.1,4,Engineer,4,0.9927,Positive
115,"Transformation Lead, Healthcare and Data Science",Bosch Group,Bengaluru,Karnataka,Full-time,"['Project management', 'Communication skills', 'Marketing', 'Data science', ""Master's degree""]",4,3.9,3.4,4.4,4.2,3.7,4,4.2,4,Scientist,4,0,Negative
116,"Associate Data Analyst - Bangalore, KA",Optum,Bengaluru,Karnataka,Full-time,"['Analytics', 'Statistical software', 'Data science', 'Business intelligence']",4.2,4.2,4,4.8,4.4,3.9,4.1,4.1,4.2,Associate,4.2,0.9747,Positive
117,Data Scientist Intern,PAGO Analytics,Hyderabad,Telangana,Full-time | Internship,"['SQL', 'SAS', 'Analytics', 'R', 'Machine learning', ""Bachelor's degree"", ""Master's degree""]",3.9,3.6,3.5,4.4,4.4,3.6,3.8,4.1,3.7,Intern,3.9,0,Negative
118,Test Specialist: Custom Applications,IBM,Bengaluru,Karnataka,Full-time,"['Analysis skills', 'Relational databases', 'Agile', 'Test cases', 'SQL', ""Master's degree""]",4,3.9,3.6,4.4,4.2,3.8,4,4.1,4,Other,4,0.9927,Positive
119,Data Science Lead,D Cube Analytics,Bengaluru,Karnataka,Not mentioned,"['Deep learning', 'TensorFlow', 'C++', 'C', 'Machine learning', 'Doctoral degree', ""Master's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
120,Clinical Data Manager,Novartis,Hyderabad,Telangana,Full-time,"['Data management', 'FDA regulations', ""Bachelor's degree""]",4,3.8,3.6,4.3,4.2,3.9,4,4.2,4.1,Manager,4,0.4404,Negative
121,Data Analyst,Rystad Energy,Bengaluru,Karnataka,Full-time,"['SQL', '.NET', 'Database design', 'Machine learning', 'Python', ""Bachelor's degree"", ""Master's degree""]",3.9,3.9,3.4,4.4,4.1,3.7,3.9,4,4.1,Analyst,3.9,0,Negative
122,Data Analyst,Pressman Advertising Ltd,Pune,Maharashtra,Full-time,"['Power BI', 'SQL', 'Spark', 'Tableau', 'Business analysis', ""Bachelor's degree""]",3.9,3.9,3.4,4.4,4.1,3.7,3.9,4,4.1,Analyst,3.9,0,Negative
123,Data Scientist,Draup,Bengaluru,Karnataka,Full-time,"['Software deployment', 'PyTorch', 'Spark', 'NumPy', 'Pandas', ""Bachelor's degree"", ""Master's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
124,Data Scientists,Xtage Labs,India,India,Not mentioned,"['Power BI', 'Communication skills', 'R', 'Python', 'Tableau']",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
125,Analyst - Tech Consulting - National - Data & Analytics - Chennai,EY,Chennai,Tamil Nadu,Full-time,"['OOP', 'Communication skills', 'SAP', 'Negotiation', ""Bachelor's degree""]",3.9,3.5,3.8,4.4,4.3,3.4,3.9,4.1,3.7,Consultant,3.9,0.9535,Positive
126,"Analyst, Data Science & Analytics",TransUnion,Pune,Maharashtra,Full-time,"['Communication skills', 'SQL', 'R', 'Data science']",4,4,3.5,4.5,4.1,3.9,4.1,4.3,3.9,Analyst,4,-0.783,Negative
127,Principal Software Engineer - Lab support,Dell Technologies,India,India,Full-time,"['vCenter', 'ESXi', 'OSPF', 'BGP', 'CCNP', ""Bachelor's degree""]",3.9,3.8,3.4,4.3,4.1,3.9,3.8,4,3.9,Engineer,3.9,0.6143,Positive
128,Technical Product Manager - Indeed Apply(Resilience),Indeed,India,India,Full-time,"['DynamoDB', 'GraphQL', 'Product management', 'NoSQL', 'Leadership', ""Bachelor's degree""]",4.4,4.7,3.5,4.8,4.3,4.3,4.3,4.5,4.6,Manager,4.4,-0.1779,Negative
129,uReturn -Software Engineer / System Engineer / Data Engineer,Uber,Hyderabad,Telangana,Full-time,"['Android Development', 'iOS', 'CSS', 'SQL', 'Spark', ""Bachelor's degree""]",4.3,4.3,3.8,4.5,4.5,3.9,4.3,4.7,4.3,Engineer,4.3,0.7774,Positive
130,Data Scientist,Hewlett Packard Enterprise,Bengaluru,Karnataka,Full-time,"['Statistical analysis', 'Web services', 'D3.js', 'SQL', 'TensorFlow', ""Bachelor's degree"", ""Master's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
131,"Software Engineer III, Silicon",Google,Bengaluru,Karnataka,Full-time,"['Distributed systems', 'System design', 'Natural language processing', 'AI', 'Software development', ""Bachelor's degree"", ""Master's degree"", 'Doctoral degree']",4.2,4.3,3.6,4.5,4.2,4.2,4.3,4.2,4.3,Engineer,4.2,0.9806,Positive
132,Decision Scientist II,Uber,Bengaluru,Karnataka,Full-time,"['SQL', 'SAS', 'A/B testing', 'MATLAB', 'Agile', ""Bachelor's degree"", ""Master's degree""]",4.3,4.3,3.8,4.5,4.5,3.9,4.3,4.7,4.3,Scientist,4.3,0.7774,Positive
133,SQL Server Database Administrator I,"APEX Analytix, LLC",India,India,Full-time,"['Microsoft Windows Server', 'SQL', 'Disaster recovery', 'High availability', 'Microsoft SQL Server', ""Bachelor's degree""]",4,3.9,3.6,4.4,4.2,3.8,4,4.1,4,Administrator,4,0.4404,Negative
134,Subject Matter Expert (SME) - Data Analytics,Trivium Education Services Pvt. Ltd.,Delhi,Delhi,Part-time | Temporary | Contract,"['SQL', 'Microsoft Excel', 'Tableau', 'Data analytics', 'Communication skills', ""Bachelor's degree"", ""Master's degree""]",3.9,3.9,3.4,4.4,4.1,3.7,3.9,4,4.1,Analyst,3.9,0,Negative
135,Software Development Engineer - Intern (Platform Engineering Team),Redhunt Labs Limited,Remote,Remote,Part-time | Internship | New-Grad,"['Relational databases', 'C++', 'OOP', 'C', 'Python', ""Bachelor's degree"", ""Master's degree""]",3.9,3.6,3.5,4.4,4.4,3.6,3.8,4.1,3.7,Intern,3.9,0,Negative
136,( Pyspark ) Data Scientist,EY,Bengaluru,Karnataka,Full-time,"['Azure', 'SQL', 'SAS', 'Communication skills', 'R', ""Bachelor's degree"", 'Doctoral degree', ""Master's degree""]",3.9,3.5,3.8,4.4,4.3,3.4,3.9,4.1,3.7,Scientist,3.9,0.9535,Positive
137,Business Analyst - Data Science,PayU,Bengaluru,Karnataka,Full-time,"['SQL', 'PCI', 'Analytics', 'R', 'Machine learning']",3.4,4,2,5,3,3,3,2,5,Analyst,3.4,0.8043,Positive
138,"Data Analyst, Global Trade",ASSPLKarnataka,Bengaluru,Karnataka,Full-time,"['Communication skills', 'SQL', 'R', 'Microsoft Excel', 'Python', ""Bachelor's degree""]",3.9,3.9,3.4,4.4,4.1,3.7,3.9,4,4.1,Analyst,3.9,0,Negative
139,Polymer Chemist,appasamy.com,Chennai,Tamil Nadu,Full-time,"['Research & development', ""Bachelor's degree""]",4,3.9,3.6,4.4,4.2,3.8,3.9,4.1,3.9,Other,4,0.4404,Negative
140,Data Scientist,Talent Corner,Mumbai,Maharashtra,Full-time,"['Predictive analytics', 'Pandas', 'MySQL', 'Git', 'APIs']",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
141,Data Engineer: Big Data,IBM,Bengaluru,Karnataka,Full-time,"['Project management', 'Continuous integration', 'Azure', 'SQL', 'Spark', ""Master's degree""]",4,3.9,3.6,4.4,4.2,3.8,4,4.1,4,Engineer,4,0.9927,Positive
142,Data Scientist - AADS Team,Eli Lilly,Bengaluru,Karnataka,Full-time,"['SQL', 'Predictive analytics', 'Natural language processing', 'Communication skills', 'R', ""Master's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
143,Data Analyst,Bombay Play,Bengaluru,Karnataka,Full-time,"['SQL', 'Statistical software', 'C++', 'Communication skills', 'Analytics']",3.9,3.9,3.4,4.4,4.1,3.7,3.9,4,4.1,Analyst,3.9,0,Negative
144,Data Science - Team Lead,LSEG (London Stock Exchange Group),Bengaluru,Karnataka,Full-time,['Data science'],3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
145,Data Scientist,PADMASAI FINANCE PRIVATE LIMITED,Hyderabad,Telangana,Full-time,"['Statistical analysis', 'MySQL', 'Machine learning', 'JavaScript', 'Python', ""Bachelor's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
146,Data Science,ITC Infotech India Ltd,Bengaluru,Karnataka,Not mentioned,"['Image processing', 'SQL', 'Microsoft Powerpoint', 'Natural language processing', 'Deep learning', ""Bachelor's degree"", ""Master's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0.7579,Positive
147,Data & Applied Scientist 2,Microsoft,Bengaluru,Karnataka,Full-time,"['Azure', '.NET', 'Data collection', 'C++', 'C', ""Bachelor's degree"", ""Master's degree""]",4,4,3.5,4.3,4.1,3.9,4.2,4.1,4.1,Scientist,4,0,Negative
148,Software Engineer,Mastercard,Pune,Maharashtra,Full-time,"['Unit testing', 'Information security', 'Jenkins', 'SQL', 'Jira', ""Bachelor's degree""]",4.1,4,3.8,4.3,4.1,4.2,3.9,4,4.4,Engineer,4.1,0.9678,Positive
149,Java Developer (Freshers),MechiSpike Solutions,Bengaluru,Karnataka,New-Grad,"['OOP', 'Data management', 'Java', ""Bachelor's degree""]",4,3.9,3.6,4.5,4.2,3.5,3.9,4.1,4.2,Developer,4,0.4404,Negative
150,Python Developer,YGK Technologies,Bengaluru,Karnataka,Full-time | New-Grad,"['Flask', 'Django', 'JavaScript', 'Python', 'HTML5', ""Bachelor's degree""]",4,3.9,3.6,4.5,4.2,3.5,3.9,4.1,4.2,Developer,4,0.4404,Negative
151,Reporting and Analytics Data Science Practitioner,Accenture,Bengaluru,Karnataka,Full-time,"['Analysis skills', 'Data modeling', 'SQL', 'SAS', 'Database design', ""Bachelor's degree""]",4.1,4,3.8,4.4,4.3,3.8,4.1,4.2,4.1,Analyst,4.1,0.9808,Positive
152,Artificial Intelligence Internship,Evolve robot Lab,Chennai,Tamil Nadu,Full-time | Part-time | Internship | New-Grad,"['Arduino', 'MATLAB', 'Raspberry Pi', 'Data science', 'AI', ""Bachelor's degree""]",3.9,3.6,3.5,4.4,4.4,3.6,3.8,4.1,3.7,Intern,3.9,0,Negative
153,"Python Team Lead, Engineering (Data Sources)",Numerator,Vadodara,Gujarat,Full-time,"['SQL', 'NoSQL', 'TCP', 'UNIX', 'TCP/IP', ""Bachelor's degree""]",3.6,3.3,2.7,4.3,4.7,3,4,3.3,3.3,Engineer,3.6,0.765,Positive
154,BCA Internship,Unicoder,Bengaluru,Karnataka,Internship,"['React', 'Node.js', 'Natural language processing', 'PHP', 'Django', ""Bachelor's degree""]",3.9,3.6,3.5,4.4,4.4,3.6,3.8,4.1,3.7,Intern,3.9,0,Negative
155,"Software Engineer III, Engineering Productivity, Google Cloud",Google,Bengaluru,Karnataka,Full-time,"['Distributed systems', 'Test automation', 'System design', 'Google Cloud Platform', 'Natural language processing', ""Bachelor's degree"", ""Master's degree"", 'Doctoral degree']",4.2,4.3,3.6,4.5,4.2,4.2,4.3,4.2,4.3,Engineer,4.2,0.9806,Positive
156,Junior Python Developer / Senior Python Developer in Bangalore,Five Feed Learning Solutions Pvt. Ltd.,Bengaluru,Karnataka,New-Grad,"['Analysis skills', 'Communication skills', 'Django', 'Machine learning', 'Python']",4,3.9,3.6,4.5,4.2,3.5,3.9,4.1,4.2,Developer,4,0.4404,Negative
157,Sr. Java Developer,Calyx,Hyderabad,Telangana,Full-time,"['Struts', 'UI design', 'FDA regulations', 'Hibernate', 'Medical imaging', ""Bachelor's degree""]",4,3.9,3.6,4.5,4.2,3.5,3.9,4.1,4.2,Developer,4,0.4404,Negative
158,"Software Engineer, Front End, Google Cloud",Google,Bengaluru,Karnataka,Full-time,"['Full-stack development', 'System design', 'Natural language processing', 'C++', 'APIs', 'Doctoral degree', ""Bachelor's degree"", ""Master's degree""]",4.2,4.3,3.6,4.5,4.2,4.2,4.3,4.2,4.3,Engineer,4.2,0.9806,Positive
159,Career Restart - Software Engineer 2,Dell Technologies,Bengaluru,Karnataka,Full-time,"['openSUSE', 'Analysis skills', 'vCenter', 'Embedded software', 'VMWare', ""Bachelor's degree""]",3.9,3.8,3.4,4.3,4.1,3.9,3.8,4,3.9,Engineer,3.9,0.6143,Positive
160,Data & Analytics Analyst,NatWest Group,Gurgaon,Haryana,Full-time,"['Communication skills', 'Agile', 'Analytics', 'Data management', 'Scrum']",4.9,4.8,4.9,4.8,4.8,5,4.9,4.9,4.9,Analyst,4.9,0.7717,Positive
161,Data Analyst (Statistician),BuzzBoard,Remote,Remote,Full-time,"['Analysis skills', 'SQL', 'SAS', 'SPSS', 'XML', ""Bachelor's degree""]",3.9,3.9,3.4,4.4,4.1,3.7,3.9,4,4.1,Analyst,3.9,0,Negative
162,Management Trainee_Data Scientist,Genpact,Bengaluru,Karnataka,Full-time,"['Analysis skills', 'Azure', 'SQL', 'Negotiation', 'Visual Studio', ""Bachelor's degree"", ""Master's degree""]",4.1,3.9,3.8,4.6,4.4,3.8,4.1,4.3,4.1,Scientist,4.1,0.9393,Positive
163,Pega Developer,Infosys Limited,Bhubaneshwar,Orissa,Not mentioned,"['Process management', 'Pegasystems', 'Java', ""Bachelor's degree"", ""Master's degree""]",4,3.8,3.7,4.4,4.2,3.5,4,4.2,4,Developer,4,0.8176,Positive
164,Data Scientist,TVS Next,Chennai,Tamil Nadu,Full-time,"['SQL', 'VBA', 'Microsoft Excel', 'Tableau', 'Financial services', ""Bachelor's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
165,Junior Data Scientist,EBIW Info Analytics Pvt ltd,Kolkata,West Bengal,Full-time,"['SQL', 'Tableau', 'Presentation skills', 'Product development', 'Communication skills', ""Bachelor's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
166,Celonis Developer,Infosys Limited,Hyderabad,Telangana,Not mentioned,"[""Bachelor's degree"", ""Master's degree""]",4,3.8,3.7,4.4,4.2,3.5,4,4.2,4,Developer,4,0.8176,Positive
167,Technical Expert - Industrial Data Science,Siemens,Bengaluru,Karnataka,Full-time | Internship,"['Statistical analysis', 'Mechanical engineering', 'C++', 'Scala', 'C', ""Bachelor's degree""]",4,3.9,3.6,4.4,4.2,3.9,4,4.2,4,Scientist,4,0.6801,Positive
168,Data Scientist,OneWorld Logistics Pvt. Ltd.,Mumbai,Maharashtra,Full-time,"['SQL', 'C++', 'Product development', 'Scala', 'R', ""Bachelor's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
169,Data Science,GadgEon,Kochi,Kerala,Not mentioned,"['TensorFlow', 'C++', 'Image processing', 'Computer vision', 'PyTorch']",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
170,Data Scientist,BEIING,Delhi,Delhi,Full-time,"['R', 'Machine learning', 'Python', 'Data science', 'AI', ""Bachelor's degree"", ""Master's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
171,Software Developer Trainee with PPO,Yeag Technology,Remote,Remote,Internship | New-Grad,"['SQL', 'Hibernate', 'Spring', 'JSP', 'Machine learning', ""Bachelor's degree""]",4,3.9,3.6,4.5,4.2,3.5,3.9,4.1,4.2,Developer,4,0.4404,Negative
172,Data Analyst,S&P Global,Bengaluru,Karnataka,Full-time,"['Power BI', 'SQL', 'Tableau', 'NumPy', 'Pandas', ""Bachelor's degree""]",3.9,3.9,3.4,4.4,4.1,3.7,3.9,4,4.1,Analyst,3.9,0,Negative
173,Associate Consultant - Data Visualization,KPMG,Bengaluru,Karnataka,Not mentioned,"['Power BI', 'D3.js', 'Data modeling', 'Azure', 'SQL', ""Bachelor's degree""]",4,3.9,3.9,4.4,4.2,3.9,4,4.1,4,Associate,4,0.9552,Positive
174,Associate Scientist - GMP,Eli Lilly,Bengaluru,Karnataka,Full-time,"['Project management', 'Analysis skills', 'Microsoft Excel', 'Computer skills', 'Microsoft Powerpoint', ""Bachelor's degree"", ""Master's degree""]",4.1,4,3.7,4.4,4.3,3.8,4.1,4.2,4.1,Associate,4.1,0.4404,Negative
175,Data Scientist,Shell,Bengaluru,Karnataka,Not mentioned,"['Analysis skills', 'Communication skills', 'Analytics', 'R', 'Python', ""Master's degree""]",4,4,3.6,4.3,4.2,4,4,4.2,3.9,Scientist,4,0.9052,Positive
176,Data Scientist,Dyson,Bengaluru,Karnataka,Not mentioned,"['SQL', 'PyTorch', 'Shell Scripting', 'SciPy', 'Data visualization', ""Bachelor's degree""]",3.4,3.4,3.1,3.7,3.3,3.4,3.1,3.6,3.4,Scientist,3.4,0.9069,Positive
177,Trainee - Tech Consulting - National - Data & Analytics - Gurgaon,EY,Gurgaon,Haryana,Full-time,"['OOP', 'Communication skills', 'SAP', 'Negotiation', ""Bachelor's degree""]",3.9,3.5,3.8,4.4,4.3,3.4,3.9,4.1,3.7,Consultant,3.9,0.9535,Positive
178,Data Analyst,Happay,Bengaluru,Karnataka,Full-time,"['SQL', 'Technical writing', 'Microsoft Excel', 'Statistics', 'Scalability', ""Bachelor's degree""]",3.9,3.9,3.4,4.4,4.1,3.7,3.9,4,4.1,Analyst,3.9,0,Negative
179,SQL Developer,Tek-Pal LLC,Hyderabad,Telangana,Full-time,"['SQL', 'Windows', 'SSIS', 'Business intelligence', 'SSRS']",4,3.9,3.6,4.5,4.2,3.5,3.9,4.1,4.2,Developer,4,0.4404,Negative
180,Senior Data Analyst - Data Engineering/Analytics,Exusia,Bengaluru,Karnataka,Full-time,"['Data modeling', 'SAS', 'SSIS', 'Agile', 'APIs', ""Master's degree"", ""Bachelor's degree""]",1,1,1,1,1,1,1,1,1,Analyst,1,0.836,Positive
181,FreeLance - Power BI Developer,QR Solutions,Chennai,Tamil Nadu,Full-time | Contract,"['Requirements gathering', 'Power BI', 'SQL', 'Microsoft Excel', 'Database development', ""Bachelor's degree""]",4,3.9,3.6,4.5,4.2,3.5,3.9,4.1,4.2,Developer,4,0.4404,Negative
182,Data Scientist,Boston Consulting Group,Bengaluru,Karnataka,Not mentioned,"['Power BI', 'Relational databases', 'SQL', 'Tableau', 'NumPy']",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
183,Dotnet Software developer with minimum 5 yrs- Job Location Abu Dhabi (UAE),Overt ideas & solutions private limited,Bengaluru,Karnataka,Full-time,"['React', 'Data modeling', 'SQL', 'Entity Framework', 'SSIS']",4,3.9,3.6,4.5,4.2,3.5,3.9,4.1,4.2,Developer,4,0.4404,Negative
184,"Senior Software Engineer, Google Cloud",Google,Bengaluru,Karnataka,Full-time,"['Distributed systems', 'System design', 'Google Cloud Platform', 'Natural language processing', 'AI', ""Bachelor's degree"", ""Master's degree"", 'Doctoral degree']",4.2,4.3,3.6,4.5,4.2,4.2,4.3,4.2,4.3,Engineer,4.2,0.9806,Positive
185,"Software Engineer III, Full Stack, Core",Google,Bengaluru,Karnataka,Full-time,"['TypeScript', 'CSS', 'Full-stack development', 'System design', 'Natural language processing', 'Doctoral degree', ""Bachelor's degree"", ""Master's degree""]",4.2,4.3,3.6,4.5,4.2,4.2,4.3,4.2,4.3,Engineer,4.2,0.9806,Positive
186,Data Scientist - Data Science,Bristlecone,Mumbai,Maharashtra,Full-time,"['Analysis skills', 'Image processing', 'Information security', 'PyTorch', 'Computer skills', ""Master's degree""]",4.1,3.5,4.1,4.7,4.3,3.5,3.7,4.5,4.1,Scientist,4.1,0,Negative
187,Data Science Interns /Python,Infimetrics,Nagpur,Maharashtra,Internship,"['C++', 'CSS', 'C', 'Machine learning', 'Python']",3.9,3.6,3.5,4.4,4.4,3.6,3.8,4.1,3.7,Intern,3.9,0,Negative
188,Intern - Software Developer,IBM,Kochi,Kerala,Full-time,"['J2EE', 'Web services', 'SOAP', 'CSS', 'SQL', ""Master's degree""]",4,3.9,3.6,4.4,4.2,3.8,4,4.1,4,Intern,4,0.9927,Positive
189,Process and Data Analyst (New Consumer Health Company),Johnson & Johnson,Bengaluru,Karnataka,Not mentioned,"['Product development', 'Communication skills', 'Agile', 'Data science', 'Software development', ""Bachelor's degree""]",3.9,3.9,3.4,4.4,4.1,3.7,3.9,4,4.1,Analyst,3.9,0,Negative
190,Data Scientist,Ripik Technology Private limited,Delhi,Delhi,Full-time,"['Power BI', 'D3.js', 'Azure', 'SQL', 'Node.js']",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
191,Vendor Management Specialist,IBM,Bengaluru,Karnataka,Full-time,"['Procurement', 'Communication skills', 'Vendor management', 'Negotiation', ""Bachelor's degree""]",4,3.9,3.6,4.4,4.2,3.8,4,4.1,4,Other,4,0.9927,Positive
192,Mendix Developer,Infosys Limited,Bengaluru,Karnataka,Not mentioned,"[""Bachelor's degree"", ""Master's degree""]",4,3.8,3.7,4.4,4.2,3.5,4,4.2,4,Developer,4,0.8176,Positive
193,Data Science Consultant,Saras Analytics,Hyderabad,Telangana,Full-time,"['Analysis skills', 'SQL', 'NumPy', 'Pandas', 'Communication skills']",4,3.8,3.7,4.4,4.2,3.6,4,4.2,3.9,Consultant,4,0.4404,Negative
194,Data Science Engineer,AliveCor,Bengaluru,Karnataka,Full-time,"['SQL', 'PyTorch', 'NumPy', 'Deep learning', 'TensorFlow', ""Bachelor's degree""]",4.1,4.1,3.5,4.4,4.2,4,4.1,4.2,4.2,Engineer,4.1,0.4404,Negative
195,Data Mining Engineer -Junior,Datahut,Kochi,Kerala,Full-time,"['Python', 'Data mining', 'Data science', ""Bachelor's degree"", ""Master's degree""]",4.1,4.1,3.5,4.4,4.2,4,4.1,4.2,4.2,Engineer,4.1,0.4404,Negative
196,Data Annotator Intern,Jupiter,Bengaluru,Karnataka,Internship,"['Leadership', 'Communication skills', 'APIs', 'Jira', 'Microsoft Excel']",3.4,3,2,5,5,3,3,4,2,Intern,3.4,0.5859,Positive
197,Data Warehouse Admin,IBM,Chennai,Tamil Nadu,Full-time,"['UNIX', 'Disaster recovery', 'Data warehouse', 'DB2', 'Time management', ""Bachelor's degree"", ""Master's degree""]",4,3.9,3.6,4.4,4.2,3.8,4,4.1,4,Administrator,4,0.9927,Positive
198,Data science Developer,Financial Fabric,Kolkata,West Bengal,Full-time,"['Power BI', 'Azure', 'SQL', 'Communication skills', 'APIs', ""Bachelor's degree""]",4,3.9,3.6,4.5,4.2,3.5,3.9,4.1,4.2,Developer,4,0.4404,Negative
199,Software Developer Intern,IBM,Pune,Maharashtra,Full-time,"['J2EE', 'React', 'CSS', 'Windows', 'Node.js', ""Master's degree""]",4,3.9,3.6,4.4,4.2,3.8,4,4.1,4,Intern,4,0.9927,Positive
200,Data Scientist,SearchUrCollege,Noida,Uttar Pradesh,Not mentioned,"['Power BI', 'R', 'Machine learning', 'Python', 'Tableau']",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
201,Deep Learning model Engineer,Katomaran Technologies Private Limited,Coimbatore,Tamil Nadu,Full-time,"['Image processing', 'PyTorch', 'Deep learning', 'TensorFlow', 'Communication skills', ""Bachelor's degree"", ""Master's degree""]",4.1,4.1,3.5,4.4,4.2,4,4.1,4.2,4.2,Engineer,4.1,0.4404,Negative
202,Digital Marketing Analyst,Infosys Limited,Bengaluru,Karnataka,Not mentioned,"['Microsoft Access', 'Azure', 'Supply chain', 'Attribution modeling', 'E-Commerce', ""Bachelor's degree"", 'Diploma']",4,3.8,3.7,4.4,4.2,3.5,4,4.2,4,Analyst,4,0.8176,Positive
203,Machine Learning Engineer,NeuranceAI Technologies Private Limited,Bengaluru,Karnataka,Full-time,"['Azure', 'SQL', 'PyTorch', 'TensorFlow', 'Machine learning', ""Bachelor's degree"", 'Doctoral degree', ""Master's degree""]",4.1,4.1,3.5,4.4,4.2,4,4.1,4.2,4.2,Engineer,4.1,0.4404,Negative
204,Data Science Engineer,Salesforce,Hyderabad,Telangana,Full-time,"['Scala', 'Agile', 'Jenkins', 'APIs', 'Spark']",4.2,4.1,3.8,4.5,4.2,4.3,4.3,4.1,4.2,Engineer,4.2,0.1796,Negative
205,Laravel Developer,Growing Networks,Coimbatore,Tamil Nadu,Full-time,"['CSS', 'SQL', 'NoSQL', 'Bootstrap', 'Software troubleshooting', ""Bachelor's degree"", ""Master's degree""]",4,3.9,3.6,4.5,4.2,3.5,3.9,4.1,4.2,Developer,4,0.4404,Negative
206,Associate Stylesheet UI Specialist,BOEING,Chennai,Tamil Nadu,Not mentioned,"['Project management', 'Analysis skills', 'CSS', 'Microservices', 'XSLT', ""Bachelor's degree"", ""Master's degree""]",4,3.9,3.6,4.3,4.2,4,3.9,4.1,3.8,Associate,4,-0.8625,Negative
207,"Senior Software Engineer, Front End, Google Cloud",Google,Bengaluru,Karnataka,Full-time,"['Full-stack development', 'System design', 'Natural language processing', 'APIs', 'Distributed systems', 'Doctoral degree', ""Bachelor's degree"", ""Master's degree""]",4.2,4.3,3.6,4.5,4.2,4.2,4.3,4.2,4.3,Engineer,4.2,0.9806,Positive
208,Analyst-Data Maintenance,Accenture,Bengaluru,Karnataka,Full-time,"['Data management', ""Bachelor's degree""]",4.1,4,3.8,4.4,4.3,3.8,4.1,4.2,4.1,Analyst,4.1,0.9808,Positive
209,"Software Engineer II, Full Stack, Google Cloud",Google,Bengaluru,Karnataka,Full-time,"['TypeScript', 'CSS', 'Full-stack development', 'System design', 'Natural language processing', 'Doctoral degree', ""Bachelor's degree"", ""Master's degree""]",4.2,4.3,3.6,4.5,4.2,4.2,4.3,4.2,4.3,Engineer,4.2,0.9806,Positive
210,MIS Executive ( Google sheets experience) - Textile Industry,Banbury Exports,Mumbai,Maharashtra,Full-time,"['Analysis skills', 'Google Suite', 'Communication skills', 'Manufacturing', 'Microsoft Office', ""Bachelor's degree""]",4,3.9,3.6,4.4,4.2,3.8,3.9,4.1,3.9,Other,4,0.4404,Negative
211,"Data & Analytics Lead, Geo Analytics - GAMMA",Boston Consulting Group,New Delhi,Delhi,Full-time,"['Power BI', 'SQL', 'Data visualization', 'Communication skills', 'APIs']",3.9,3.9,3.4,4.4,4.1,3.7,3.9,4,4.1,Analyst,3.9,0,Negative
212,Data Scientist,ABB,Bengaluru,Karnataka,Full-time,"['Power BI', 'Data modeling', 'Azure', 'VBA', 'Microsoft Excel', ""Bachelor's degree"", ""Master's degree""]",4,3.8,3.6,4.4,4.2,3.8,3.9,4.2,3.9,Scientist,4,-0.855,Negative
213,Machine Learning Data Engineer,BlueOptima,Bengaluru,Karnataka,Full-time,"['Project management', 'PyTorch', 'Tableau', 'Data visualization', 'Natural language processing', ""Bachelor's degree""]",2.8,3,1,3,5,2,1,4,3,Engineer,2.8,0.9422,Positive
